id,car,color
1,Ford,Teal
2,Lamborghini,Goldenrod
3,Jaguar,Red
4,Chevrolet,Turquoise
5,Lexus,Indigo
6,Volkswagen,Teal
7,Land Rover,Blue
8,Buick,Crimson
9,Chevrolet,Green
10,Geo,Indigo
11,Porsche,Green
12,Toyota,Purple
13,Pontiac,Yellow
14,Maserati,Violet
15,Porsche,Teal
16,Maserati,Maroon
17,Acura,Goldenrod
18,Toyota,Khaki
19,Mazda,Goldenrod
20,Ford,Turquoise
21,Ford,Green
22,Toyota,Violet
23,Mitsubishi,Red
24,Acura,Fuscia
25,Mercury,Turquoise
26,Porsche,Turquoise
27,Audi,Mauv
28,Hyundai,Fuscia
29,Volkswagen,Green
30,Jeep,Crimson
31,Subaru,Mauv
32,Ford,Turquoise
33,Mercury,Crimson
34,Toyota,Teal
35,Mercedes-Benz,Orange
36,Honda,Crimson
37,Dodge,Aquamarine
38,Subaru,Turquoise
39,Toyota,Orange
40,GMC,Indigo
41,Honda,Blue
42,Land Rover,Mauv
43,Lincoln,Red
44,Acura,Fuscia
45,BMW,Blue
46,Audi,Green
47,Chevrolet,Indigo
48,Nissan,Teal
49,Mazda,Blue
50,Ford,Green
51,GMC,Pink
52,Ford,Maroon
53,Dodge,Red
54,Mitsubishi,Red
55,Aston Martin,Yellow
56,Land Rover,Khaki
57,Rolls-Royce,Khaki
58,Chevrolet,Pink
59,Toyota,Turquoise
60,Lexus,Khaki
61,Ford,Yellow
62,Ford,Teal
63,Ford,Green
64,Ford,Blue
65,Ford,Green
66,Suzuki,Turquoise
67,Volvo,Purple
68,Chevrolet,Goldenrod
69,Dodge,Turquoise
70,Ford,Orange
71,Jeep,Aquamarine
72,Mercedes-Benz,Pink
73,BMW,Purple
74,Chevrolet,Maroon
75,GMC,Khaki
76,Subaru,Purple
77,Chrysler,Pink
78,Mercedes-Benz,Blue
79,Audi,Maroon
80,Mercury,Maroon
81,Chevrolet,Purple
82,Ford,Turquoise
83,Mitsubishi,Purple
84,Chevrolet,Khaki
85,Ferrari,Red
86,Nissan,Aquamarine
